TotalMolarFlow,FeedTemperature,ColumnRefluxRatio ,GlycerolMoleFraction
0.5,35,1.7,0.958912912
0.5,35,1.7875,0.958905594
0.5,35,1.875,0.958898567
0.5,35,1.9625,0.958891792
0.5,35,2.05,0.958885261
0.5,35,2.1375,0.958878959
0.5,35,2.225,0.958872875
0.5,35,2.3125,0.958866999
0.5,35,2.4,0.95886132
0.5,40,1.7,0.958914685
0.5,40,1.7875,0.958907322
0.5,40,1.875,0.958900228
0.5,40,1.9625,0.958893394
0.5,40,2.05,0.958886805
0.5,40,2.1375,0.958880449
0.5,40,2.225,0.958874314
0.5,40,2.3125,0.958868389
0.5,40,2.4,0.958862664
0.5,45,1.7,0.958916506
0.5,45,1.7875,0.958909074
0.5,45,1.875,0.958901916
0.5,45,1.9625,0.95889502
0.5,45,2.05,0.958888373
0.5,45,2.1375,0.958881962
0.5,45,2.225,0.958875775
0.5,45,2.3125,0.9588698
0.5,45,2.4,0.958864028
0.5,50,1.7,0.958918356
0.5,50,1.7875,0.958910855
0.5,50,1.875,0.95890363
0.5,50,1.9625,0.958896672
0.5,50,2.05,0.958889965
0.5,50,2.1375,0.958883498
0.5,50,2.225,0.958877258
0.5,50,2.3125,0.958871232
0.5,50,2.4,0.958865412
0.5,55,1.7,0.958920236
0.5,55,1.7875,0.958912664
0.5,55,1.875,0.958905372
0.5,55,1.9625,0.95889835
0.5,55,2.05,0.958891583
0.5,55,2.1375,0.958885059
0.5,55,2.225,0.958878764
0.5,55,2.3125,0.958872687
0.5,55,2.4,0.958866817
0.5,60,1.7,0.958922149
0.5,60,1.7875,0.958914504
0.5,60,1.875,0.958907143
0.5,60,1.9625,0.958900056
0.5,60,2.05,0.958893228
0.5,60,2.1375,0.958886644
0.5,60,2.225,0.958880294
0.5,60,2.3125,0.958874164
0.5,60,2.4,0.958868245
0.5,65,1.7,0.958924094
0.5,65,1.7875,0.958916375
0.5,65,1.875,0.958908944
0.5,65,1.9625,0.95890179
0.5,65,2.05,0.958894899
0.5,65,2.1375,0.958888256
0.5,65,2.225,0.958881849
0.5,65,2.3125,0.958875666
0.5,65,2.4,0.958869695
0.5,70,1.7,0.958926073
0.5,70,1.7875,0.958918278
0.5,70,1.875,0.958910775
0.5,70,1.9625,0.958903554
0.5,70,2.05,0.958896598
0.5,70,2.1375,0.958889895
0.5,70,2.225,0.95888343
0.5,70,2.3125,0.958877192
0.5,70,2.4,0.958871169
0.5,75,1.7,0.958928197
0.5,75,1.7875,0.958920317
0.5,75,1.875,0.958912738
0.5,75,1.9625,0.958905443
0.5,75,2.05,0.958898418
0.5,75,2.1375,0.958891648
0.5,75,2.225,0.958885121
0.5,75,2.3125,0.958878824
0.5,75,2.4,0.958872745
1,35,1.7,0.703154447
1,35,1.7875,0.703154269
1,35,1.875,0.703154066
1,35,1.9625,0.703153839
1,35,2.05,0.703153594
1,35,2.1375,0.703153332
1,35,2.225,0.703153057
1,35,2.3125,0.70315277
1,35,2.4,0.703152475
1,40,1.7,0.703154518
1,40,1.7875,0.703154355
1,40,1.875,0.703154164
1,40,1.9625,0.703153947
1,40,2.05,0.70315371
1,40,2.1375,0.703153456
1,40,2.225,0.703153186
1,40,2.3125,0.703152905
1,40,2.4,0.703152613
1,45,1.7,0.703154583
1,45,1.7875,0.703154436
1,45,1.875,0.703154257
1,45,1.9625,0.703154052
1,45,2.05,0.703153824
1,45,2.1375,0.703153577
1,45,2.225,0.703153314
1,45,2.3125,0.703153038
1,45,2.4,0.703152751
1,50,1.7,0.70315464
1,50,1.7875,0.703154509
1,50,1.875,0.703154345
1,50,1.9625,0.703154152
1,50,2.05,0.703153934
1,50,2.1375,0.703153696
1,50,2.225,0.70315344
